Year ,Gold Average Closing Price ,Gold Year Open,Gold Year High,Gold Year Low,Gold Year Close,Gold Annual % Change,Oil Average Closing Price,Oil Year Open,Oil Year High,Oil Year Low,Oil Year Close,Oil Annual % Change,DXY Average Closing Price,DXY Year Open,DXY Year High,DXY Year Low,DXY Year Close,DXY Annual % Change
1987,446.84,402.40,502.75,392.60,486.50,0.24,19.20,18.13,22.44,15.12,16.74,-0.07,3.73,3.73,3.73,3.73,3.73,0.00
1988,436.78,484.10,485.30,389.05,410.15,-0.16,15.97,17.77,18.54,12.58,17.12,0.02,3.73,3.73,3.73,3.73,3.73,0.00
1989,381.27,413.60,417.15,358.10,401.00,-0.02,19.64,17.38,24.62,16.99,21.84,0.28,3.77,3.73,4.73,3.73,4.73,0.27
1990,383.73,401.65,421.40,346.75,391.00,-0.02,24.53,22.88,41.07,15.43,28.48,0.30,4.79,4.73,5.24,4.73,5.24,0.11
1991,362.34,392.50,403.70,343.50,353.40,-0.10,21.54,26.53,32.25,17.43,19.15,-0.33,5.34,5.24,5.45,5.24,5.45,0.04
1992,343.87,351.20,359.30,330.20,332.90,-0.06,20.58,19.43,23.03,17.89,19.49,0.02,5.52,5.45,5.9,5.41,5.77,0.06
1993,360.05,329.40,406.70,326.50,390.65,0.17,18.43,19.03,21.05,13.98,14.19,-0.27,5.78,5.77,5.82,5.71,5.81,0.01
1994,384.16,395.00,397.50,370.25,382.50,-0.02,17.20,14.52,20.72,13.89,17.77,0.25,8.64,8.72,8.74,8.47,8.47,0.46
1995,384.07,381.40,396.95,372.45,386.70,0.01,18.43,17.45,20.53,16.86,19.54,0.10,8.37,8.46,8.46,8.29,8.34,-0.02
1996,387.73,387.10,416.25,368.30,369.55,-0.04,22.12,19.83,26.55,17.33,25.90,0.33,8.34,8.34,8.35,8.33,8.33,0.00
1997,331.00,367.80,367.80,283.05,289.20,-0.22,20.61,25.55,26.55,17.60,17.65,-0.32,8.32,8.33,8.33,8.29,8.31,0.00
